STT, Thời gian, Ngày tháng, TỔNG LƯU LƯỢNG 1, Tiêu thụ, LƯU LƯỢNG TỨC THỜI 1
 1985, 19:00:00 , 23/03/2024 7:00:00 CH ,         680136.2, 30.9     ,                 30.4
 1986, 20:00:00 , 23/03/2024 8:00:00 CH ,         680162.3, 26.1     ,                 26.9
 1987, 21:00:00 , 23/03/2024 9:00:00 CH ,         680184.9, 22.6     ,                 22.6
 1988, 22:00:00 , 23/03/2024 10:00:00 CH,         680204.0, 19.1     ,                 18.8
 1989, 23:00:00 , 23/03/2024 11:00:00 CH,         680218.7, 14.7     ,                 15.4
 1990, 00:00:00 , 24/03/2024 12:00:00 SA,         680226.8, 8.1      ,                  9.0
 1991, 01:00:00 , 24/03/2024 1:00:00 SA ,         680231.6, 4.8      ,                  5.1
 1992, 02:00:00 , 24/03/2024 2:00:00 SA ,         680235.5, 3.9      ,                  4.2
 1993, 03:00:00 , 24/03/2024 3:00:00 SA ,         680239.2, 3.7      ,                  3.1
 1994, 04:00:00 , 24/03/2024 4:00:00 SA ,         680243.1, 3.9      ,                  4.6
 1995, 05:00:00 , 24/03/2024 5:00:00 SA ,         680248.9, 5.8      ,                  6.3
 1996, 06:00:00 , 24/03/2024 6:00:00 SA ,         680256.9, 8.0      ,                  6.8
 1997, 07:00:00 , 24/03/2024 7:00:00 SA ,         680272.6, 15.8     ,                 15.3
 1998, 08:00:00 , 24/03/2024 8:00:00 SA ,         680294.8, 22.2     ,                 22.1
 1999, 09:00:00 , 24/03/2024 9:00:00 SA ,         680318.9, 24.1     ,                 23.4
 2000, 10:00:00 , 24/03/2024 10:00:00 SA,         680339.4, 20.5     ,                 20.9
 2001, 11:00:00 , 24/03/2024 11:00:00 SA,         680358.8, 19.4     ,                 18.8
 2002, 12:00:00 , 24/03/2024 12:00:00 CH,         680376.7, 17.9     ,                 18.2
 2003, 13:00:00 , 24/03/2024 1:00:00 CH ,         680393.1, 16.4     ,                 15.9
 2004, 14:00:00 , 24/03/2024 2:00:00 CH ,         680405.7, 12.6     ,                 12.8
 2005, 15:00:00 , 24/03/2024 3:00:00 CH ,         680418.7, 13.0     ,                 11.8
 2006, 16:00:00 , 24/03/2024 4:00:00 CH ,         680436.0, 17.3     ,                 17.2
 2007, 17:00:00 , 24/03/2024 5:00:00 CH ,         680455.5, 19.5     ,                 19.0
 2008, 18:00:00 , 24/03/2024 6:00:00 CH ,         680482.4, 26.9     ,                 27.1
 2009, 19:00:00 , 24/03/2024 7:00:00 CH ,         680509.8, 27.4     ,                 27.8
 2010, 20:00:00 , 24/03/2024 8:00:00 CH ,         680534.1, 24.3     ,                 26.0
 2011, 21:00:00 , 24/03/2024 9:00:00 CH ,         680556.2, 22.1     ,                 21.8
 2012, 22:00:00 , 24/03/2024 10:00:00 CH,         680574.0, 17.8     ,                 17.0
 2013, 23:00:00 , 24/03/2024 11:00:00 CH,         680587.9, 13.9     ,                 14.2
 2014, 00:00:00 , 25/03/2024 12:00:00 SA,         680595.4, 7.5      ,                  7.9
 2015, 01:00:00 , 25/03/2024 1:00:00 SA ,         680600.0, 4.6      ,                  4.7
 2016, 02:00:00 , 25/03/2024 2:00:00 SA ,         680604.3, 4.3      ,                  4.4
 2017, 03:00:00 , 25/03/2024 3:00:00 SA ,         680608.7, 4.4      ,                  4.2
 2018, 04:00:00 , 25/03/2024 4:00:00 SA ,         680613.1, 4.4      ,                  4.4
 2019, 05:00:00 , 25/03/2024 5:00:00 SA ,         680619.1, 6.0      ,                  6.0
 2020, 06:00:00 , 25/03/2024 6:00:00 SA ,         680629.9, 10.8     ,                  9.4
 2021, 07:00:00 , 25/03/2024 7:00:00 SA ,         680651.7, 21.8     ,                 22.0
 2022, 08:00:00 , 25/03/2024 8:00:00 SA ,         680672.0, 20.3     ,                 20.0
 2023, 09:00:00 , 25/03/2024 9:00:00 SA ,         680692.3, 20.3     ,                 20.5
 2024, 10:00:00 , 25/03/2024 10:00:00 SA,         680709.8, 17.5     ,                 17.1
 2025, 11:00:00 , 25/03/2024 11:00:00 SA,         680728.5, 18.7     ,                 19.9
 2026, 12:00:00 , 25/03/2024 12:00:00 CH,         680746.9, 18.4     ,                 19.3
 2027, 13:00:00 , 25/03/2024 1:00:00 CH ,         680763.2, 16.3     ,                 15.8
 2028, 14:00:00 , 25/03/2024 2:00:00 CH ,         680775.7, 12.5     ,                 12.1
 2029, 15:00:00 , 25/03/2024 3:00:00 CH ,         680787.4, 11.7     ,                 12.2
 2030, 16:00:00 , 25/03/2024 4:00:00 CH ,         680800.0, 12.6     ,                 13.3
 2031, 17:00:00 , 25/03/2024 5:00:00 CH ,         680815.5, 15.5     ,                 14.7
 2032, 18:00:00 , 25/03/2024 6:00:00 CH ,         680839.0, 23.5     ,                 22.9
 2033, 19:00:00 , 25/03/2024 7:00:00 CH ,         680871.2, 32.2     ,                 31.9
 2034, 20:00:00 , 25/03/2024 8:00:00 CH ,         680898.9, 27.7     ,                 28.1
 2035, 21:00:00 , 25/03/2024 9:00:00 CH ,         680923.5, 24.6     ,                 24.1
 2036, 22:00:00 , 25/03/2024 10:00:00 CH,         680944.0, 20.5     ,                 20.6
 2037, 23:00:00 , 25/03/2024 11:00:00 CH,         680958.1, 14.1     ,                 13.1
 2038, 00:00:00 , 26/03/2024 12:00:00 SA,         680965.5, 7.4      ,                  7.5
 2039, 01:00:00 , 26/03/2024 1:00:00 SA ,         680970.0, 4.5      ,                  5.3
 2040, 02:00:00 , 26/03/2024 2:00:00 SA ,         680973.7, 3.7      ,                  3.1
 2041, 03:00:00 , 26/03/2024 3:00:00 SA ,         680977.2, 3.5      ,                  3.1
 2042, 04:00:00 , 26/03/2024 4:00:00 SA ,         680981.4, 4.2      ,                  4.3
 2043, 05:00:00 , 26/03/2024 5:00:00 SA ,         680987.2, 5.8      ,                  5.6
 2044, 06:00:00 , 26/03/2024 6:00:00 SA ,         680997.3, 10.1     ,                  8.7
 2045, 07:00:00 , 26/03/2024 7:00:00 SA ,         681023.4, 26.1     ,                 27.5
 2046, 08:00:00 , 26/03/2024 8:00:00 SA ,         681049.2, 25.8     ,                 25.6
 2047, 09:00:00 , 26/03/2024 9:00:00 SA ,         681070.6, 21.4     ,                 21.5
 2048, 10:00:00 , 26/03/2024 10:00:00 SA,         681090.1, 19.5     ,                 19.4
 2049, 11:00:00 , 26/03/2024 11:00:00 SA,         681111.2, 21.1     ,                 20.7
 2050, 12:00:00 , 26/03/2024 12:00:00 CH,         681132.1, 20.9     ,                 20.0
 2051, 13:00:00 , 26/03/2024 1:00:00 CH ,         681148.6, 16.5     ,                 17.3
 2052, 14:00:00 , 26/03/2024 2:00:00 CH ,         681162.2, 13.6     ,                 13.8
 2053, 15:00:00 , 26/03/2024 3:00:00 CH ,         681175.8, 13.6     ,                 13.1
 2054, 16:00:00 , 26/03/2024 4:00:00 CH ,         681189.3, 13.5     ,                 13.2
 2055, 17:00:00 , 26/03/2024 5:00:00 CH ,         681206.5, 17.2     ,                 17.8
 2056, 18:00:00 , 26/03/2024 6:00:00 CH ,         681230.5, 24.0     ,                 24.4
 2057, 19:00:00 , 26/03/2024 7:00:00 CH ,         681261.1, 30.6     ,                 31.2
 2058, 20:00:00 , 26/03/2024 8:00:00 CH ,         681288.7, 27.6     ,                 27.4
 2059, 21:00:00 , 26/03/2024 9:00:00 CH ,         681312.7, 24.0     ,                 22.7
 2060, 22:00:00 , 26/03/2024 10:00:00 CH,         681335.5, 22.8     ,                 22.1
 2061, 23:00:00 , 26/03/2024 11:00:00 CH,         681350.2, 14.7     ,                 14.3
 2062, 00:00:00 , 27/03/2024 12:00:00 SA,         681357.9, 7.7      ,                  7.9
 2063, 01:00:00 , 27/03/2024 1:00:00 SA ,         681362.7, 4.8      ,                  4.8
 2064, 02:00:00 , 27/03/2024 2:00:00 SA ,         681366.6, 3.9      ,                  4.1
 2065, 03:00:00 , 27/03/2024 3:00:00 SA ,         681370.0, 3.4      ,                  3.2
 2066, 04:00:00 , 27/03/2024 4:00:00 SA ,         681374.0, 4.0      ,                  4.2
 2067, 05:00:00 , 27/03/2024 5:00:00 SA ,         681379.6, 5.6      ,                  5.7
 2068, 06:00:00 , 27/03/2024 6:00:00 SA ,         681389.9, 10.3     ,                  9.9
 2069, 07:00:00 , 27/03/2024 7:00:00 SA ,         681413.4, 23.5     ,                 22.6
 2070, 08:00:00 , 27/03/2024 8:00:00 SA ,         681435.5, 22.1     ,                 23.1
 2071, 09:00:00 , 27/03/2024 9:00:00 SA ,         681452.2, 16.7     ,                 16.8
 2072, 10:00:00 , 27/03/2024 10:00:00 SA,         681469.5, 17.3     ,                 16.8
 2073, 11:00:00 , 27/03/2024 11:00:00 SA,         681488.3, 18.8     ,                 20.0
 2074, 12:00:00 , 27/03/2024 12:00:00 CH,         681507.8, 19.5     ,                 19.4
 2075, 13:00:00 , 27/03/2024 1:00:00 CH ,         681525.2, 17.4     ,                 18.9
 2076, 14:00:00 , 27/03/2024 2:00:00 CH ,         681537.8, 12.6     ,                 13.1
 2077, 15:00:00 , 27/03/2024 3:00:00 CH ,         681551.4, 13.6     ,                 13.4
 2078, 16:00:00 , 27/03/2024 4:00:00 CH ,         681565.6, 14.3     ,                 14.2
 2079, 17:00:00 , 27/03/2024 5:00:00 CH ,         681582.6, 17.0     ,                 17.2
 2080, 18:00:00 , 27/03/2024 6:00:00 CH ,         681606.8, 24.2     ,                 24.8
 2081, 19:00:00 , 27/03/2024 7:00:00 CH ,         681638.0, 31.2     ,                 32.0
 2082, 20:00:00 , 27/03/2024 8:00:00 CH ,         681666.5, 28.5     ,                 29.3
 2083, 21:00:00 , 27/03/2024 9:00:00 CH ,         681689.7, 23.2     ,                 23.9
 2084, 22:00:00 , 27/03/2024 10:00:00 CH,         681708.4, 18.7     ,                 17.9
 2085, 23:00:00 , 27/03/2024 11:00:00 CH,         681722.9, 14.5     ,                 14.1
 2086, 00:00:00 , 28/03/2024 12:00:00 SA,         681730.8, 7.9      ,                  9.0
 2087, 01:00:00 , 28/03/2024 1:00:00 SA ,         681735.4, 4.6      ,                  4.5
 2088, 02:00:00 , 28/03/2024 2:00:00 SA ,         681739.1, 3.8      ,                  4.1
 2089, 03:00:00 , 28/03/2024 3:00:00 SA ,         681742.6, 3.5      ,                  3.9
 2090, 04:00:00 , 28/03/2024 4:00:00 SA ,         681746.6, 4.0      ,                  4.0
 2091, 05:00:00 , 28/03/2024 5:00:00 SA ,         681752.7, 6.1      ,                  5.4
 2092, 06:00:00 , 28/03/2024 6:00:00 SA ,         681763.3, 10.6     ,                 10.0
 2093, 07:00:00 , 28/03/2024 7:00:00 SA ,         681786.8, 23.5     ,                 22.5
 2094, 08:00:00 , 28/03/2024 8:00:00 SA ,         681811.6, 24.8     ,                 25.1
 2095, 09:00:00 , 28/03/2024 9:00:00 SA ,         681833.7, 22.1     ,                 21.5
 2096, 10:00:00 , 28/03/2024 10:00:00 SA,         681854.6, 20.9     ,                 21.3
 2097, 11:00:00 , 28/03/2024 11:00:00 SA,         681875.8, 21.2     ,                 21.0
 2098, 12:00:00 , 28/03/2024 12:00:00 CH,         681894.0, 18.2     ,                 17.9
 2099, 13:00:00 , 28/03/2024 1:00:00 CH ,         681911.1, 17.1     ,                 17.8
 2100, 14:00:00 , 28/03/2024 2:00:00 CH ,         681925.1, 14.0     ,                 13.2
 2101, 15:00:00 , 28/03/2024 3:00:00 CH ,         681938.9, 13.8     ,                 13.4
 2102, 16:00:00 , 28/03/2024 4:00:00 CH ,         681952.9, 14.0     ,                 13.8
 2103, 17:00:00 , 28/03/2024 5:00:00 CH ,         681970.6, 17.8     ,                 17.5
 2104, 18:00:00 , 28/03/2024 6:00:00 CH ,         681997.6, 27.0     ,                 27.6
 2105, 19:00:00 , 28/03/2024 7:00:00 CH ,         682026.9, 29.3     ,                 28.5
 2106, 20:00:00 , 28/03/2024 8:00:00 CH ,         682054.0, 27.1     ,                 28.5
 2107, 21:00:00 , 28/03/2024 9:00:00 CH ,         682076.1, 22.1     ,                 23.9
 2108, 22:00:00 , 28/03/2024 10:00:00 CH,         682095.8, 19.7     ,                 18.9
 2109, 23:00:00 , 28/03/2024 11:00:00 CH,         682109.6, 13.8     ,                 14.1
 2110, 00:00:00 , 29/03/2024 12:00:00 SA,         682118.0, 8.4      ,                  8.8
 2111, 01:00:00 , 29/03/2024 1:00:00 SA ,         682122.9, 4.9      ,                  5.0
 2112, 02:00:00 , 29/03/2024 2:00:00 SA ,         682127.3, 4.4      ,                  3.8
 2113, 03:00:00 , 29/03/2024 3:00:00 SA ,         682131.2, 3.9      ,                  4.5
 2114, 04:00:00 , 29/03/2024 4:00:00 SA ,         682135.8, 4.6      ,                  4.5
 2115, 05:00:00 , 29/03/2024 5:00:00 SA ,         682142.1, 6.3      ,                  6.6
 2116, 06:00:00 , 29/03/2024 6:00:00 SA ,         682152.6, 10.5     ,                 11.1
 2117, 07:00:00 , 29/03/2024 7:00:00 SA ,         682175.7, 23.1     ,                 23.7
 2118, 08:00:00 , 29/03/2024 8:00:00 SA ,         682196.9, 21.2     ,                 22.4
 2119, 09:00:00 , 29/03/2024 9:00:00 SA ,         682214.6, 17.8     ,                 18.1
 2120, 10:00:00 , 29/03/2024 10:00:00 SA,         682232.2, 17.6     ,                 17.4
 2121, 11:00:00 , 29/03/2024 11:00:00 SA,         682250.9, 18.7     ,                 19.6
 2122, 12:00:00 , 29/03/2024 12:00:00 CH,         682270.3, 19.4     ,                 19.3
 2123, 13:00:00 , 29/03/2024 1:00:00 CH ,         682289.2, 18.9     ,                 18.3
 2124, 14:00:00 , 29/03/2024 2:00:00 CH ,         682303.9, 14.7     ,                 15.0
 2125, 15:00:00 , 29/03/2024 3:00:00 CH ,         682317.9, 14.0     ,                 13.5
 2126, 16:00:00 , 29/03/2024 4:00:00 CH ,         682331.8, 13.9     ,                 14.1
 2127, 17:00:00 , 29/03/2024 5:00:00 CH ,         682343.0, 11.2     ,                 15.9
 2128, 18:00:00 , 29/03/2024 6:00:00 CH ,         682371.2, 28.2     ,                 22.1
 2129, 19:00:00 , 29/03/2024 7:00:00 CH ,         682401.1, 29.9     ,                 29.5
 2130, 20:00:00 , 29/03/2024 8:00:00 CH ,         682429.7, 28.6     ,                 29.6
 2131, 21:00:00 , 29/03/2024 9:00:00 CH ,         682454.5, 24.8     ,                 25.5
 2132, 22:00:00 , 29/03/2024 10:00:00 CH,         682474.9, 20.4     ,                 21.0
 2133, 23:00:00 , 29/03/2024 11:00:00 CH,         682491.0, 16.1     ,                 15.6
 2134, 00:00:00 , 30/03/2024 12:00:00 SA,         682500.7, 9.7      ,                 10.1
 2135, 01:00:00 , 30/03/2024 1:00:00 SA ,         682506.4, 5.7      ,                  5.7
 2136, 02:00:00 , 30/03/2024 2:00:00 SA ,         682510.9, 4.5      ,                  4.7
 2137, 03:00:00 , 30/03/2024 3:00:00 SA ,         682515.1, 4.3      ,                  4.0
 2138, 04:00:00 , 30/03/2024 4:00:00 SA ,         682519.6, 4.5      ,                  4.1
 2139, 05:00:00 , 30/03/2024 5:00:00 SA ,         682526.2, 6.6      ,                  6.8
 2140, 06:00:00 , 30/03/2024 6:00:00 SA ,         682537.4, 11.2     ,                 10.7
 2141, 07:00:00 , 30/03/2024 7:00:00 SA ,         682560.8, 23.4     ,                 23.3
 2142, 08:00:00 , 30/03/2024 8:00:00 SA ,         682584.4, 23.6     ,                 24.0
 2143, 09:00:00 , 30/03/2024 9:00:00 SA ,         682606.6, 22.3     ,                 22.9
 2144, 10:00:00 , 30/03/2024 10:00:00 SA,         682631.9, 25.3     ,                 25.0
 2145, 11:00:00 , 30/03/2024 11:00:00 SA,         682656.7, 24.8     ,                 24.4
 2146, 12:00:00 , 30/03/2024 12:00:00 CH,         682680.3, 23.6     ,                 23.0
 2147, 13:00:00 , 30/03/2024 1:00:00 CH ,         682701.8, 21.5     ,                 21.9
 2148, 14:00:00 , 30/03/2024 2:00:00 CH ,         682719.3, 17.5     ,                 16.8
 2149, 15:00:00 , 30/03/2024 3:00:00 CH ,         682736.1, 16.8     ,                 16.8
 2150, 16:00:00 , 30/03/2024 4:00:00 CH ,         682755.0, 18.9     ,                 17.7
 2151, 17:00:00 , 30/03/2024 5:00:00 CH ,         682777.6, 22.6     ,                 21.4
 2152, 18:00:00 , 30/03/2024 6:00:00 CH ,         682806.2, 28.6     ,                 27.8
 2153, 19:00:00 , 30/03/2024 7:00:00 CH ,         682838.9, 32.7     ,                 32.7
 2154, 20:00:00 , 30/03/2024 8:00:00 CH ,         682867.2, 28.3     ,                 28.1
 2155, 21:00:00 , 30/03/2024 9:00:00 CH ,         682891.4, 24.2     ,                 24.3
 2156, 22:00:00 , 30/03/2024 10:00:00 CH,         682913.5, 22.1     ,                 21.8
 2157, 23:00:00 , 30/03/2024 11:00:00 CH,         682932.0, 18.5     ,                 17.4
 2158, 00:00:00 , 31/03/2024 12:00:00 SA,         682943.6, 11.6     ,                 11.7
 2159, 01:00:00 , 31/03/2024 1:00:00 SA ,         682952.4, 8.8      ,                  8.8
 2160, 02:00:00 , 31/03/2024 2:00:00 SA ,         682959.7, 7.3      ,                  7.1
 2161, 03:00:00 , 31/03/2024 3:00:00 SA ,         682966.8, 7.1      ,                  7.3
 2162, 04:00:00 , 31/03/2024 4:00:00 SA ,         682974.1, 7.3      ,                  7.1
 2163, 05:00:00 , 31/03/2024 5:00:00 SA ,         682982.6, 8.5      ,                  8.1
 2164, 06:00:00 , 31/03/2024 6:00:00 SA ,         682994.8, 12.2     ,                 12.9
 2165, 07:00:00 , 31/03/2024 7:00:00 SA ,         683016.9, 22.1     ,                 21.7
 2166, 08:00:00 , 31/03/2024 8:00:00 SA ,         683042.5, 25.6     ,                 25.8
 2167, 09:00:00 , 31/03/2024 9:00:00 SA ,         683068.0, 25.5     ,                 26.1
 2168, 10:00:00 , 31/03/2024 10:00:00 SA,         683092.7, 24.7     ,                 24.3
 2169, 11:00:00 , 31/03/2024 11:00:00 SA,         683120.1, 27.4     ,                 26.9
 2170, 12:00:00 , 31/03/2024 12:00:00 CH,         683149.5, 29.4     ,                 29.9
 2171, 13:00:00 , 31/03/2024 1:00:00 CH ,         683178.9, 29.4     ,                 30.8
 2172, 14:00:00 , 31/03/2024 2:00:00 CH ,         683203.9, 25.0     ,                 26.2
 2173, 15:00:00 , 31/03/2024 3:00:00 CH ,         683218.9, 15.0     ,                 13.6
 2174, 16:00:00 , 31/03/2024 4:00:00 CH ,         683237.3, 18.4     ,                 18.1
 2175, 17:00:00 , 31/03/2024 5:00:00 CH ,         683259.3, 22.0     ,                 21.6
 2176, 18:00:00 , 31/03/2024 6:00:00 CH ,         683290.7, 31.4     ,                 31.2
 2177, 19:00:00 , 31/03/2024 7:00:00 CH ,         683323.4, 32.7     ,                 33.1
 2178, 20:00:00 , 31/03/2024 8:00:00 CH ,         683351.2, 27.8     ,                 27.5
 2179, 21:00:00 , 31/03/2024 9:00:00 CH ,         683376.2, 25.0     ,                 25.8
 2180, 22:00:00 , 31/03/2024 10:00:00 CH,         683400.2, 24.0     ,                 24.7
 2181, 23:00:00 , 31/03/2024 11:00:00 CH,         683416.1, 15.9     ,                 15.7
 2182, 00:00:00 , 01/04/2024 12:00:00 SA,         683424.7, 8.6      ,                  8.6
 2183, 01:00:00 , 01/04/2024 1:00:00 SA ,         683429.7, 5.0      ,                  4.9
 2184, 02:00:00 , 01/04/2024 2:00:00 SA ,         683433.8, 4.1      ,                  4.2
 2185, 03:00:00 , 01/04/2024 3:00:00 SA ,         683437.3, 3.5      ,                  3.4
 2186, 04:00:00 , 01/04/2024 4:00:00 SA ,         683441.4, 4.1      ,                  4.4
 2187, 05:00:00 , 01/04/2024 5:00:00 SA ,         683447.0, 5.6      ,                  5.1
 2188, 06:00:00 , 01/04/2024 6:00:00 SA ,         683458.0, 11.0     ,                 11.3
 2189, 07:00:00 , 01/04/2024 7:00:00 SA ,         683482.5, 24.5     ,                 24.0
 2190, 09:00:00 , 01/04/2024 9:00:00 SA ,         683534.6, 52.1     ,                  0.0
 2191, 10:00:00 , 01/04/2024 10:00:00 SA,         683557.1, 22.5     ,                 23.2
 2192, 11:00:00 , 01/04/2024 11:00:00 SA,         683581.2, 24.1     ,                 26.2
 2193, 12:00:00 , 01/04/2024 12:00:00 CH,         683605.1, 23.9     ,                 23.6
 2194, 13:00:00 , 01/04/2024 1:00:00 CH ,         683624.0, 18.9     ,                 19.1
 2195, 14:00:00 , 01/04/2024 2:00:00 CH ,         683640.7, 16.7     ,                 16.7
 2196, 15:00:00 , 01/04/2024 3:00:00 CH ,         683657.0, 16.3     ,                 15.8
 2197, 16:00:00 , 01/04/2024 4:00:00 CH ,         683672.0, 15.0     ,                 15.8
 2198, 17:00:00 , 01/04/2024 5:00:00 CH ,         683691.2, 19.2     ,                 20.3
 2199, 18:00:00 , 01/04/2024 6:00:00 CH ,         683716.8, 25.6     ,                 25.8
 2200, 19:00:00 , 01/04/2024 7:00:00 CH ,         683749.5, 32.7     ,                 32.2
 2201, 20:00:00 , 01/04/2024 8:00:00 CH ,         683781.7, 32.2     ,                 32.6
 2202, 21:00:00 , 01/04/2024 9:00:00 CH ,         683807.4, 25.7     ,                 25.3
 2203, 22:00:00 , 01/04/2024 10:00:00 CH,         683829.3, 21.9     ,                 21.7
 2204, 23:00:00 , 01/04/2024 11:00:00 CH,         683846.0, 16.7     ,                 16.7
 2205, 00:00:00 , 02/04/2024 12:00:00 SA,         683855.0, 9.0      ,                  9.1
 2206, 01:00:00 , 02/04/2024 1:00:00 SA ,         683860.5, 5.5      ,                  5.6
 2207, 02:00:00 , 02/04/2024 2:00:00 SA ,         683864.5, 4.0      ,                  4.5
 2208, 03:00:00 , 02/04/2024 3:00:00 SA ,         683868.2, 3.7      ,                  4.2
 2209, 04:00:00 , 02/04/2024 4:00:00 SA ,         683872.1, 3.9      ,                  4.6
 2210, 05:00:00 , 02/04/2024 5:00:00 SA ,         683878.5, 6.4      ,                  5.5
 2211, 06:00:00 , 02/04/2024 6:00:00 SA ,         683891.6, 13.1     ,                 12.2
 2212, 07:00:00 , 02/04/2024 7:00:00 SA ,         683918.1, 26.5     ,                 26.6
 2213, 08:00:00 , 02/04/2024 8:00:00 SA ,         683944.2, 26.1     ,                 27.2
 2214, 09:00:00 , 02/04/2024 9:00:00 SA ,         683965.3, 21.1     ,                 22.1
 2215, 10:00:00 , 02/04/2024 10:00:00 SA,         683985.4, 20.1     ,                 20.3
 2216, 11:00:00 , 02/04/2024 11:00:00 SA,         684006.0, 20.6     ,                 20.5
 2217, 12:00:00 , 02/04/2024 12:00:00 CH,         684027.0, 21.0     ,                 20.8
 2218, 13:00:00 , 02/04/2024 1:00:00 CH ,         684043.3, 16.3     ,                 15.6
 2219, 14:00:00 , 02/04/2024 2:00:00 CH ,         684056.9, 13.6     ,                 12.7
 2220, 15:00:00 , 02/04/2024 3:00:00 CH ,         684069.8, 12.9     ,                 12.4
 2221, 16:00:00 , 02/04/2024 4:00:00 CH ,         684084.6, 14.8     ,                 13.7
 2222, 17:00:00 , 02/04/2024 5:00:00 CH ,         684104.2, 19.6     ,                 19.3
 2223, 18:00:00 , 02/04/2024 6:00:00 CH ,         684129.7, 25.5     ,                 24.5
 2224, 19:00:00 , 02/04/2024 7:00:00 CH ,         684164.6, 34.9     ,                 33.3
 2225, 20:00:00 , 02/04/2024 8:00:00 CH ,         684197.1, 32.5     ,                 32.6
 2226, 21:00:00 , 02/04/2024 9:00:00 CH ,         684223.5, 26.4     ,                 26.2
 2227, 22:00:00 , 02/04/2024 10:00:00 CH,         684245.4, 21.9     ,                 22.4
 2228, 23:00:00 , 02/04/2024 11:00:00 CH,         684261.2, 15.8     ,                 16.2
 2229, 00:00:00 , 03/04/2024 12:00:00 SA,         684269.5, 8.3      ,                  9.6
 2230, 01:00:00 , 03/04/2024 1:00:00 SA ,         684273.6, 4.1      ,                  4.5
 2231, 02:00:00 , 03/04/2024 2:00:00 SA ,         684277.2, 3.6      ,                  3.5
 2232, 03:00:00 , 03/04/2024 3:00:00 SA ,         684280.6, 3.4      ,                  2.8
 2233, 04:00:00 , 03/04/2024 4:00:00 SA ,         684284.2, 3.6      ,                  3.2
 2234, 05:00:00 , 03/04/2024 5:00:00 SA ,         684289.6, 5.4      ,                  4.9
 2235, 06:00:00 , 03/04/2024 6:00:00 SA ,         684301.0, 11.4     ,                 10.5
 2236, 07:00:00 , 03/04/2024 7:00:00 SA ,         684327.2, 26.2     ,                 24.4
 2237, 08:00:00 , 03/04/2024 8:00:00 SA ,         684354.3, 27.1     ,                 27.5
 2238, 09:00:00 , 03/04/2024 9:00:00 SA ,         684376.8, 22.5     ,                 22.2
 2239, 10:00:00 , 03/04/2024 10:00:00 SA,         684397.9, 21.1     ,                 20.6
 2240, 11:00:00 , 03/04/2024 11:00:00 SA,         684420.4, 22.5     ,                 22.2
 2241, 12:00:00 , 03/04/2024 12:00:00 CH,         684440.8, 20.4     ,                 20.0
 2242, 13:00:00 , 03/04/2024 1:00:00 CH ,         684459.1, 18.3     ,                 18.5
 2243, 14:00:00 , 03/04/2024 2:00:00 CH ,         684475.5, 16.4     ,                 14.0
 2244, 15:00:00 , 03/04/2024 3:00:00 CH ,         684492.4, 16.9     ,                 17.2
 2245, 16:00:00 , 03/04/2024 4:00:00 CH ,         684508.9, 16.5     ,                 16.0
 2246, 17:00:00 , 03/04/2024 5:00:00 CH ,         684527.5, 18.6     ,                 18.4
 2247, 18:00:00 , 03/04/2024 6:00:00 CH ,         684552.5, 25.0     ,                 24.5
 2248, 19:00:00 , 03/04/2024 7:00:00 CH ,         684586.9, 34.4     ,                 33.6
 2249, 20:00:00 , 03/04/2024 8:00:00 CH ,         684616.4, 29.5     ,                 29.9
 2250, 21:00:00 , 03/04/2024 9:00:00 CH ,         684641.2, 24.8     ,                 24.4
 2251, 22:00:00 , 03/04/2024 10:00:00 CH,         684663.8, 22.6     ,                 23.7
 2252, 23:00:00 , 03/04/2024 11:00:00 CH,         684680.3, 16.5     ,                 16.3
 2253, 00:00:00 , 04/04/2024 12:00:00 SA,         684688.1, 7.8      ,                  7.3
 2254, 01:00:00 , 04/04/2024 1:00:00 SA ,         684692.7, 4.6      ,                  4.6
 2255, 02:00:00 , 04/04/2024 2:00:00 SA ,         684696.1, 3.4      ,                  3.0
 2256, 03:00:00 , 04/04/2024 3:00:00 SA ,         684699.5, 3.4      ,                  3.4
 2257, 04:00:00 , 04/04/2024 4:00:00 SA ,         684703.2, 3.7      ,                  3.5
 2258, 05:00:00 , 04/04/2024 5:00:00 SA ,         684709.3, 6.1      ,                  5.5
 2259, 06:00:00 , 04/04/2024 6:00:00 SA ,         684721.5, 12.2     ,                 11.7
 2260, 07:00:00 , 04/04/2024 7:00:00 SA ,         684746.7, 25.2     ,                 23.5
 2261, 08:00:00 , 04/04/2024 8:00:00 SA ,         684769.5, 22.8     ,                 24.0
 2262, 09:00:00 , 04/04/2024 9:00:00 SA ,         684788.6, 19.1     ,                 19.2
 2263, 10:00:00 , 04/04/2024 10:00:00 SA,         684806.7, 18.1     ,                 17.0
 2264, 11:00:00 , 04/04/2024 11:00:00 SA,         684827.5, 20.8     ,                 20.5
 2265, 12:00:00 , 04/04/2024 12:00:00 CH,         684846.9, 19.4     ,                 19.8
 2266, 13:00:00 , 04/04/2024 1:00:00 CH ,         684863.0, 16.1     ,                 15.6
 2267, 14:00:00 , 04/04/2024 2:00:00 CH ,         684876.0, 13.0     ,                 13.4
 2268, 15:00:00 , 04/04/2024 3:00:00 CH ,         684890.4, 14.4     ,                 13.5
 2269, 16:00:00 , 04/04/2024 4:00:00 CH ,         684906.6, 16.3     ,                 15.9
