STT, Thời gian, Ngày tháng, TỔNG LƯU LƯỢNG 1, Tiêu thụ, LƯU LƯỢNG TỨC THỜI 1
   91, 19:00:00 , 04/01/2024 7:00:00 CH ,         650530.5, 30.3     ,                 29.2
   92, 20:00:00 , 04/01/2024 8:00:00 CH ,         650555.7, 25.2     ,                 24.4
   93, 21:00:00 , 04/01/2024 9:00:00 CH ,         650577.6, 21.9     ,                 22.0
   94, 22:00:00 , 04/01/2024 10:00:00 CH,         650598.2, 20.6     ,                 19.0
   95, 23:00:00 , 04/01/2024 11:00:00 CH,         650612.8, 14.6     ,                 14.1
   96, 00:00:00 , 05/01/2024 12:00:00 SA,         650620.6, 7.8      ,                  7.1
   97, 01:00:00 , 05/01/2024 1:00:00 SA ,         650626.2, 5.6      ,                  5.0
   98, 02:00:00 , 05/01/2024 2:00:00 SA ,         650630.6, 4.4      ,                  4.4
   99, 03:00:00 , 05/01/2024 3:00:00 SA ,         650634.9, 4.3      ,                  4.1
  100, 04:00:00 , 05/01/2024 4:00:00 SA ,         650639.4, 4.5      ,                  4.7
  101, 05:00:00 , 05/01/2024 5:00:00 SA ,         650645.1, 5.8      ,                  5.3
  102, 06:00:00 , 05/01/2024 6:00:00 SA ,         650653.9, 8.8      ,                  8.1
  103, 07:00:00 , 05/01/2024 7:00:00 SA ,         650674.9, 21.0     ,                 21.1
  104, 08:00:00 , 05/01/2024 8:00:00 SA ,         650695.5, 20.6     ,                 20.3
  105, 09:00:00 , 05/01/2024 9:00:00 SA ,         650715.3, 19.8     ,                 20.2
  106, 10:00:00 , 05/01/2024 10:00:00 SA,         650733.5, 18.2     ,                 17.8
  107, 11:00:00 , 05/01/2024 11:00:00 SA,         650753.5, 20.0     ,                 20.5
  108, 12:00:00 , 05/01/2024 12:00:00 CH,         650772.3, 18.8     ,                 18.8
  109, 13:00:00 , 05/01/2024 1:00:00 CH ,         650788.0, 15.7     ,                 15.5
  110, 14:00:00 , 05/01/2024 2:00:00 CH ,         650802.6, 14.6     ,                 14.4
  111, 15:00:00 , 05/01/2024 3:00:00 CH ,         650815.4, 12.8     ,                 12.5
  112, 16:00:00 , 05/01/2024 4:00:00 CH ,         650829.4, 14.0     ,                 13.6
  113, 17:00:00 , 05/01/2024 5:00:00 CH ,         650846.0, 16.6     ,                 15.9
  114, 18:00:00 , 05/01/2024 6:00:00 CH ,         650870.3, 24.3     ,                 24.5
  115, 19:00:00 , 05/01/2024 7:00:00 CH ,         650901.1, 30.8     ,                 32.9
  116, 20:00:00 , 05/01/2024 8:00:00 CH ,         650927.5, 26.4     ,                 26.1
  117, 21:00:00 , 05/01/2024 9:00:00 CH ,         650951.4, 23.9     ,                 24.4
  118, 22:00:00 , 05/01/2024 10:00:00 CH,         650971.4, 20.0     ,                 19.4
  119, 23:00:00 , 05/01/2024 11:00:00 CH,         650987.3, 15.9     ,                 15.7
  120, 00:00:00 , 06/01/2024 12:00:00 SA,         650996.2, 8.9      ,                  9.1
  121, 01:00:00 , 06/01/2024 1:00:00 SA ,         651001.8, 5.6      ,                  5.5
  122, 02:00:00 , 06/01/2024 2:00:00 SA ,         651006.1, 4.3      ,                  4.2
  123, 03:00:00 , 06/01/2024 3:00:00 SA ,         651010.0, 3.9      ,                  3.6
  124, 04:00:00 , 06/01/2024 4:00:00 SA ,         651014.4, 4.4      ,                  4.0
  125, 05:00:00 , 06/01/2024 5:00:00 SA ,         651020.2, 5.8      ,                  5.7
  126, 06:00:00 , 06/01/2024 6:00:00 SA ,         651028.9, 8.7      ,                  8.8
  127, 07:00:00 , 06/01/2024 7:00:00 SA ,         651048.2, 19.3     ,                 19.1
  128, 08:00:00 , 06/01/2024 8:00:00 SA ,         651072.3, 24.1     ,                 25.2
  129, 09:00:00 , 06/01/2024 9:00:00 SA ,         651092.7, 20.4     ,                 20.5
  130, 10:00:00 , 06/01/2024 10:00:00 SA,         651113.9, 21.2     ,                 20.3
  131, 11:00:00 , 06/01/2024 11:00:00 SA,         651134.6, 20.8     ,                 21.1
  132, 12:00:00 , 06/01/2024 12:00:00 CH,         651155.0, 20.4     ,                 20.7
  133, 13:00:00 , 06/01/2024 1:00:00 CH ,         651172.4, 17.4     ,                 17.3
  134, 14:00:00 , 06/01/2024 2:00:00 CH ,         651185.5, 13.1     ,                 13.9
  135, 15:00:00 , 06/01/2024 3:00:00 CH ,         651199.1, 13.6     ,                 13.9
  136, 16:00:00 , 06/01/2024 4:00:00 CH ,         651217.5, 18.4     ,                 17.8
  137, 17:00:00 , 06/01/2024 5:00:00 CH ,         651238.5, 21.0     ,                 20.7
  138, 18:00:00 , 06/01/2024 6:00:00 CH ,         651265.0, 26.5     ,                 26.1
  139, 19:00:00 , 06/01/2024 7:00:00 CH ,         651295.2, 30.2     ,                 30.2
  140, 20:00:00 , 06/01/2024 8:00:00 CH ,         651320.5, 25.3     ,                 26.0
  141, 21:00:00 , 06/01/2024 9:00:00 CH ,         651340.1, 19.6     ,                 20.2
  142, 22:00:00 , 06/01/2024 10:00:00 CH,         651358.4, 18.3     ,                 18.0
  143, 23:00:00 , 06/01/2024 11:00:00 CH,         651373.3, 14.9     ,                 14.2
  144, 00:00:00 , 07/01/2024 12:00:00 SA,         651381.8, 8.5      ,                  8.9
  145, 01:00:00 , 07/01/2024 1:00:00 SA ,         651388.2, 6.4      ,                  6.2
  146, 02:00:00 , 07/01/2024 2:00:00 SA ,         651393.3, 5.1      ,                  5.6
  147, 03:00:00 , 07/01/2024 3:00:00 SA ,         651397.6, 4.3      ,                  4.8
  148, 04:00:00 , 07/01/2024 4:00:00 SA ,         651402.2, 4.6      ,                  4.6
  149, 05:00:00 , 07/01/2024 5:00:00 SA ,         651407.8, 5.6      ,                  5.9
  150, 06:00:00 , 07/01/2024 6:00:00 SA ,         651415.1, 7.3      ,                  7.4
  151, 07:00:00 , 07/01/2024 7:00:00 SA ,         651430.3, 15.2     ,                 15.1
  152, 08:00:00 , 07/01/2024 8:00:00 SA ,         651453.6, 23.3     ,                 22.6
  153, 09:00:00 , 07/01/2024 9:00:00 SA ,         651475.5, 21.9     ,                 21.8
  154, 10:00:00 , 07/01/2024 10:00:00 SA,         651496.2, 20.7     ,                 22.0
  155, 11:00:00 , 07/01/2024 11:00:00 SA,         651518.5, 22.3     ,                 22.0
  156, 12:00:00 , 07/01/2024 12:00:00 CH,         651537.1, 18.6     ,                 17.8
  157, 13:00:00 , 07/01/2024 1:00:00 CH ,         651554.0, 16.9     ,                 16.6
  158, 14:00:00 , 07/01/2024 2:00:00 CH ,         651568.2, 14.2     ,                 15.4
  159, 15:00:00 , 07/01/2024 3:00:00 CH ,         651581.5, 13.3     ,                 13.9
  160, 16:00:00 , 07/01/2024 4:00:00 CH ,         651597.2, 15.7     ,                 14.5
  161, 17:00:00 , 07/01/2024 5:00:00 CH ,         651618.9, 21.7     ,                 21.2
  162, 18:00:00 , 07/01/2024 6:00:00 CH ,         651646.4, 27.5     ,                 27.7
  163, 19:00:00 , 07/01/2024 7:00:00 CH ,         651676.9, 30.5     ,                 30.8
  164, 20:00:00 , 07/01/2024 8:00:00 CH ,         651702.4, 25.5     ,                 25.6
  165, 21:00:00 , 07/01/2024 9:00:00 CH ,         651723.3, 20.9     ,                 20.9
  166, 22:00:00 , 07/01/2024 10:00:00 CH,         651742.0, 18.7     ,                 18.3
  167, 23:00:00 , 07/01/2024 11:00:00 CH,         651756.0, 14.0     ,                 14.3
  168, 00:00:00 , 08/01/2024 12:00:00 SA,         651764.1, 8.1      ,                  8.6
  169, 01:00:00 , 08/01/2024 1:00:00 SA ,         651769.8, 5.7      ,                  5.7
  170, 02:00:00 , 08/01/2024 2:00:00 SA ,         651774.3, 4.5      ,                  4.3
  171, 03:00:00 , 08/01/2024 3:00:00 SA ,         651778.5, 4.2      ,                  4.4
  172, 04:00:00 , 08/01/2024 4:00:00 SA ,         651783.1, 4.6      ,                  4.1
  173, 05:00:00 , 08/01/2024 5:00:00 SA ,         651789.0, 5.9      ,                  5.3
  174, 06:00:00 , 08/01/2024 6:00:00 SA ,         651798.9, 9.9      ,                  9.9
  175, 07:00:00 , 08/01/2024 7:00:00 SA ,         651822.8, 23.9     ,                 23.7
  176, 08:00:00 , 08/01/2024 8:00:00 SA ,         651845.1, 22.3     ,                 21.9
  177, 09:00:00 , 08/01/2024 9:00:00 SA ,         651865.6, 20.5     ,                 21.8
  178, 10:00:00 , 08/01/2024 10:00:00 SA,         651884.6, 19.0     ,                 19.6
  179, 11:00:00 , 08/01/2024 11:00:00 SA,         651901.7, 17.1     ,                 17.6
  180, 12:00:00 , 08/01/2024 12:00:00 CH,         651919.4, 17.7     ,                 16.9
  181, 13:00:00 , 08/01/2024 1:00:00 CH ,         651935.1, 15.8     ,                 16.0
  182, 14:00:00 , 08/01/2024 2:00:00 CH ,         651949.1, 14.0     ,                 13.3
  183, 15:00:00 , 08/01/2024 3:00:00 CH ,         651962.9, 13.8     ,                 14.3
  184, 16:00:00 , 08/01/2024 4:00:00 CH ,         651977.1, 14.3     ,                 13.8
  185, 17:00:00 , 08/01/2024 5:00:00 CH ,         651995.9, 18.8     ,                 17.5
  186, 18:00:00 , 08/01/2024 6:00:00 CH ,         652020.1, 24.3     ,                 25.1
  187, 19:00:00 , 08/01/2024 7:00:00 CH ,         652049.7, 29.6     ,                 30.9
  188, 20:00:00 , 08/01/2024 8:00:00 CH ,         652075.8, 26.1     ,                 25.6
  189, 21:00:00 , 08/01/2024 9:00:00 CH ,         652099.8, 24.0     ,                 24.4
  190, 22:00:00 , 08/01/2024 10:00:00 CH,         652118.5, 18.7     ,                 18.0
  191, 23:00:00 , 08/01/2024 11:00:00 CH,         652132.9, 14.4     ,                 14.9
  192, 00:00:00 , 09/01/2024 12:00:00 SA,         652140.5, 7.6      ,                  8.2
  193, 01:00:00 , 09/01/2024 1:00:00 SA ,         652145.7, 5.2      ,                  5.2
